estrutura,tamanho,repeticao,tempoNs
ArvoreBST,1000,18,84217
ArvoreBST,1000,19,81776
ArvoreBST,1000,20,82280
ArvoreBST,1000,21,83341
ArvoreBST,1000,22,85528
ArvoreBST,1000,23,85713
ArvoreBST,1000,24,85452
ArvoreBST,1000,25,102583
ArvoreBST,1000,26,98104
ArvoreBST,1000,27,82169
ArvoreBST,1000,28,82343
ArvoreBST,1000,29,82895
HashTable,1000,0,61761
HashTable,1000,1,59742
HashTable,1000,2,66211
HashTable,1000,3,86330
HashTable,1000,4,65079
HashTable,1000,5,64529
HashTable,1000,6,66650
HashTable,1000,7,71994
HashTable,1000,8,61269
HashTable,1000,9,59635
HashTable,1000,10,63683
HashTable,1000,11,80722
HashTable,1000,12,81207
HashTable,1000,13,60569
HashTable,1000,14,60406
HashTable,1000,15,60447
HashTable,1000,16,60377
HashTable,1000,17,62594
HashTable,1000,18,62558
HashTable,1000,19,62412
HashTable,1000,20,62364
HashTable,1000,21,61856
HashTable,1000,22,59857
HashTable,1000,23,59181
HashTable,1000,24,62072
HashTable,1000,25,58779
HashTable,1000,26,61287
HashTable,1000,27,63661
HashTable,1000,28,61099
HashTable,1000,29,187555
ArrayLinear,10000,0,1176193
ArrayLinear,10000,1,1076519
ArrayLinear,10000,2,1086517
ArrayLinear,10000,3,1051770
ArrayLinear,10000,4,1578114
ArrayLinear,10000,5,1116520
ArrayLinear,10000,6,1126427
ArrayLinear,10000,7,1143575
ArrayLinear,10000,8,1076695
ArrayLinear,10000,9,1097930
ArrayLinear,10000,10,1045375
ArrayLinear,10000,11,1049429
ArrayLinear,10000,12,1065704
ArrayLinear,10000,13,1075654
ArrayLinear,10000,14,1092774
ArrayLinear,10000,15,1042475
ArrayLinear,10000,16,1066227
ArrayLinear,10000,17,1071982
ArrayLinear,10000,18,1042502
ArrayLinear,10000,19,1066197
ArrayLinear,10000,20,1058086
ArrayLinear,10000,21,1061286
ArrayLinear,10000,22,1072137
ArrayLinear,10000,23,1133947
ArrayLinear,10000,24,1100992
ArrayLinear,10000,25,1089101
ArrayLinear,10000,26,1044210
ArrayLinear,10000,27,1115696
ArrayLinear,10000,28,1031630
ArrayLinear,10000,29,1076472
ArrayBinario,10000,0,128624
ArrayBinario,10000,1,138433
ArrayBinario,10000,2,136685
ArrayBinario,10000,3,153462
ArrayBinario,10000,4,167106
ArrayBinario,10000,5,145978
ArrayBinario,10000,6,134514
ArrayBinario,10000,7,235725
ArrayBinario,10000,8,191760
ArrayBinario,10000,9,247393
ArrayBinario,10000,10,148600
ArrayBinario,10000,11,132941
ArrayBinario,10000,12,205353
ArrayBinario,10000,13,135828
ArrayBinario,10000,14,136212
ArrayBinario,10000,15,121913
ArrayBinario,10000,16,123164
ArrayBinario,10000,17,132266
ArrayBinario,10000,18,177709
ArrayBinario,10000,19,124348
ArrayBinario,10000,20,117518
ArrayBinario,10000,21,118626
ArrayBinario,10000,22,127386
ArrayBinario,10000,23,120821
ArrayBinario,10000,24,189493
ArrayBinario,10000,25,121346
ArrayBinario,10000,26,186189
ArrayBinario,10000,27,178230
ArrayBinario,10000,28,119157
ArrayBinario,10000,29,192897
ListaEncadeada,10000,0,10832880
ListaEncadeada,10000,1,10323161
ListaEncadeada,10000,2,10100150
ListaEncadeada,10000,3,10462789
ListaEncadeada,10000,4,10120490
ListaEncadeada,10000,5,10237127
ListaEncadeada,10000,6,10249966
ListaEncadeada,10000,7,10197097
ListaEncadeada,10000,8,10104164
ListaEncadeada,10000,9,10341877
ListaEncadeada,10000,10,9839851
ListaEncadeada,10000,11,10530706
ListaEncadeada,10000,12,10458900
ListaEncadeada,10000,13,9846808
ListaEncadeada,10000,14,10178079
ListaEncadeada,10000,15,10014067
ListaEncadeada,10000,16,12877199
ListaEncadeada,10000,17,11204660
ListaEncadeada,10000,18,10933502
ListaEncadeada,10000,19,10073952
ListaEncadeada,10000,20,10625710
ListaEncadeada,10000,21,10133236
ListaEncadeada,10000,22,10372127
ListaEncadeada,10000,23,10805703
ListaEncadeada,10000,24,10159640
ListaEncadeada,10000,25,9851535
ListaEncadeada,10000,26,10112580
ListaEncadeada,10000,27,10117498
ListaEncadeada,10000,28,10490792
ListaEncadeada,10000,29,10458139
ArvoreBST,10000,0,91491
ArvoreBST,10000,1,81794
ArvoreBST,10000,2,82960
ArvoreBST,10000,3,149637
ArvoreBST,10000,4,82517
ArvoreBST,10000,5,82354
ArvoreBST,10000,6,82043
ArvoreBST,10000,7,81037
ArvoreBST,10000,8,83496
ArvoreBST,10000,9,82727
ArvoreBST,10000,10,79690
ArvoreBST,10000,11,82266
ArvoreBST,10000,12,82910
ArvoreBST,10000,13,81177
ArvoreBST,10000,14,81761
ArvoreBST,10000,15,82208
ArvoreBST,10000,16,82712
ArvoreBST,10000,17,83118
ArvoreBST,10000,18,85908
ArvoreBST,10000,19,80547
ArvoreBST,10000,20,83403
ArvoreBST,10000,21,83177
ArvoreBST,10000,22,82588
ArvoreBST,10000,23,81940
ArvoreBST,10000,24,81601
ArvoreBST,10000,25,81193
ArvoreBST,10000,26,80658
ArvoreBST,10000,27,82433
ArvoreBST,10000,28,81846
ArvoreBST,10000,29,82330
HashTable,10000,0,34493
HashTable,10000,1,32192
HashTable,10000,2,32006
HashTable,10000,3,32896
HashTable,10000,4,33175
HashTable,10000,5,48448
HashTable,10000,6,31952
HashTable,10000,7,46008
HashTable,10000,8,32137
HashTable,10000,9,31713
HashTable,10000,10,32199
HashTable,10000,11,32918
HashTable,10000,12,33045
HashTable,10000,13,32039
HashTable,10000,14,31624
HashTable,10000,15,32292
HashTable,10000,16,32743
HashTable,10000,17,31417
HashTable,10000,18,32511
HashTable,10000,19,32210
HashTable,10000,20,31933
HashTable,10000,21,34149
HashTable,10000,22,31196
HashTable,10000,23,32038
HashTable,10000,24,36914
HashTable,10000,25,31469
HashTable,10000,26,55995
HashTable,10000,27,53491
HashTable,10000,28,33967
HashTable,10000,29,31999
ArrayLinear,100000,0,10796400
ArrayLinear,100000,1,10418364
ArrayLinear,100000,2,10340274
ArrayLinear,100000,3,10343906
ArrayLinear,100000,4,10106374
ArrayLinear,100000,5,10715886
ArrayLinear,100000,6,10835991
ArrayLinear,100000,7,11021136
ArrayLinear,100000,8,10308370
ArrayLinear,100000,9,10261921
ArrayLinear,100000,10,13568406
ArrayLinear,100000,11,11348221
ArrayLinear,100000,12,10281771
ArrayLinear,100000,13,10316587
ArrayLinear,100000,14,11891139
ArrayLinear,100000,15,10207528
ArrayLinear,100000,16,10579335
ArrayLinear,100000,17,11024485
ArrayLinear,100000,18,10322368
ArrayLinear,100000,19,10221394
ArrayLinear,100000,20,10201685
ArrayLinear,100000,21,10391354
ArrayLinear,100000,22,10746459
ArrayLinear,100000,23,10418499
ArrayLinear,100000,24,10543807
ArrayLinear,100000,25,12054572
ArrayLinear,100000,26,10333703
ArrayLinear,100000,27,10278793
ArrayLinear,100000,28,10692106
ArrayLinear,100000,29,12188212
ArrayBinario,100000,0,224698
ArrayBinario,100000,1,186679
ArrayBinario,100000,2,177481
ArrayBinario,100000,3,174496
ArrayBinario,100000,4,203957
ArrayBinario,100000,5,163826
ArrayBinario,100000,6,155032
ArrayBinario,100000,7,166056
ArrayBinario,100000,8,131868
ArrayBinario,100000,9,133451
ArrayBinario,100000,10,133891
ArrayBinario,100000,11,134871
ArrayBinario,100000,12,131217
ArrayBinario,100000,13,130694
ArrayBinario,100000,14,164101
ArrayBinario,100000,15,155852
ArrayBinario,100000,16,197917
ArrayBinario,100000,17,170276
ArrayBinario,100000,18,162718
ArrayBinario,100000,19,133183
ArrayBinario,100000,20,138497
