estrutura,tamanho,repeticao,tempoInsercaoNs,tempoBuscaNs,memoriaBytes
ArrayLinear,500000,18,3749796,71855920,0
ArrayLinear,500000,19,2800875,85962565,0
ArrayLinear,500000,20,2761365,88326323,0
ArrayLinear,500000,21,3384000,91466503,0
ArrayLinear,500000,22,5021159,87627113,0
ArrayLinear,500000,23,5142664,66465058,0
ArrayLinear,500000,24,2924329,74360835,0
ArrayLinear,500000,25,2356662,66600740,0
ArrayLinear,500000,26,4625831,69424749,0
ArrayLinear,500000,27,2864746,65705760,0
ArrayLinear,500000,28,2981361,69184673,0
ArrayLinear,500000,29,2691045,92985920,0
ArrayBinario,500000,0,63042223,643838,0
ArrayBinario,500000,1,58480765,344598,0
ArrayBinario,500000,2,57136226,454258,0
ArrayBinario,500000,3,50637578,556134,0
ArrayBinario,500000,4,45718602,281489,0
ArrayBinario,500000,5,44825250,285358,0
ArrayBinario,500000,6,47355886,476343,0
ArrayBinario,500000,7,52710969,353766,0
ArrayBinario,500000,8,61095807,453308,0
ArrayBinario,500000,9,55608726,383310,0
ArrayBinario,500000,10,55261415,343954,0
ArrayBinario,500000,11,56058583,388184,0
ArrayBinario,500000,12,54894393,306594,0
ArrayBinario,500000,13,52942827,398460,0
ArrayBinario,500000,14,55028143,342538,0
ArrayBinario,500000,15,55771746,312410,0
ArrayBinario,500000,16,56314973,502244,0
ArrayBinario,500000,17,56998948,335288,0
ArrayBinario,500000,18,57606836,351757,0
ArrayBinario,500000,19,55040471,632859,0
ArrayBinario,500000,20,53680758,327408,0
ArrayBinario,500000,21,58126271,374546,0
ArrayBinario,500000,22,48148524,284537,0
ArrayBinario,500000,23,47830136,286789,0
ArrayBinario,500000,24,43912786,290680,0
ArrayBinario,500000,25,47221474,355800,0
ArrayBinario,500000,26,51030698,344481,0
ArrayBinario,500000,27,54623612,354679,0
ArrayBinario,500000,28,55155548,352740,0
ArrayBinario,500000,29,56304096,351623,0
ListaEncadeada,500000,0,41785906,991124653,12112576
ListaEncadeada,500000,1,52175272,941738076,12018896
ListaEncadeada,500000,2,66917323,952621206,12016408
ListaEncadeada,500000,3,27117478,925758402,12238000
ListaEncadeada,500000,4,79748002,993620341,12076536
ListaEncadeada,500000,5,56177377,923373806,12136664
ListaEncadeada,500000,6,64289597,968200823,12146240
ListaEncadeada,500000,7,57067631,882605711,12128960
ListaEncadeada,500000,8,54286345,978560936,12095256
ListaEncadeada,500000,9,61684459,932366825,12127736
ListaEncadeada,500000,10,59817909,880382249,12129104
ListaEncadeada,500000,11,62147669,872052347,12129104
ListaEncadeada,500000,12,61332696,1102093975,12140456
ListaEncadeada,500000,13,81299700,900482646,12123776
ListaEncadeada,500000,14,61575194,947355234,12137096
ListaEncadeada,500000,15,59679628,926161460,12129104
ListaEncadeada,500000,16,63636722,1068270260,12129104
ListaEncadeada,500000,17,99267705,946284187,12172672
ListaEncadeada,500000,18,63715051,929002590,12097056
ListaEncadeada,500000,19,58209078,1011775114,12134288
ListaEncadeada,500000,20,67037052,1137422821,12129104
ListaEncadeada,500000,21,108463001,890911645,12268288
ListaEncadeada,500000,22,61649037,995437267,12129032
ListaEncadeada,500000,23,64432842,899065746,12129104
ListaEncadeada,500000,24,75007600,947087178,12129032
ListaEncadeada,500000,25,57862486,837286094,12129104
ListaEncadeada,500000,26,58387009,921204477,12073640
ListaEncadeada,500000,27,60417665,902248243,12128144
ListaEncadeada,500000,28,61616928,964553261,12129104
ListaEncadeada,500000,29,58639376,919740813,12194440
ArvoreBST,500000,0,350997670,840234,12202840
ArvoreBST,500000,1,339192110,531070,12135864
ArvoreBST,500000,2,301045840,825242,12092320
ArvoreBST,500000,3,314606029,440021,12177704
ArvoreBST,500000,4,331312930,518879,12116736
ArvoreBST,500000,5,311170972,574043,12149648
ArvoreBST,500000,6,284842830,539508,12137720
ArvoreBST,500000,7,290425037,575715,12184208
ArvoreBST,500000,8,356646737,566910,12093840
ArvoreBST,500000,9,305886302,531255,12185312
ArvoreBST,500000,10,331681445,498173,12184064
